"party","pres"
"Independent","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Independent","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Independent","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Independent","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Independent","Vance"
"Republican","Shapiro"
"Democrat","Vance"
"Republican","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Independent","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Shapiro"
"Independent","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Independent","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Democrat","Vance"
"Republican","Vance"
"Democrat","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Shapiro"
"Republican","Vance"
"Independent","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Independent","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Independent","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Independent","Vance"
"Independent","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Independent","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Independent","Shapiro"
"Democrat","Shapiro"
"Independent","Shapiro"
"Democrat","Vance"
"Independent","Shapiro"
"Independent","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Independent","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Independent","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Independent","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Democrat","Vance"
"Republican","Vance"
"Republican","Vance"
"Independent","Vance"
"Republican","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Democrat","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Shapiro"
"Republican","Vance"
"Independent","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Independent","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Republican","Vance"
"Independent","Vance"
"Democrat","Shapiro"
"Republican","Vance"
"Republican","Vance"
"Republican","Vance"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Democrat","Shapiro"
"Independent","Shapiro"
"Republican","Vance"
"Democrat","Shapiro"
